id,effect,internal_name,introduction,name
1,"使用招式攻击对手造成伤害时，对方有10%几率陷入畏缩状态。
- 该效果与王者之证／锐利之牙不叠加。
- 该效果与特效为畏缩的招式（比如空气之刃）不叠加。
- 连续招式每一下连续的攻击都会有相同的几率造成对手畏缩。",stench,通过释放臭臭的气味，在攻击的时候，有时会使对手畏缩。,恶臭
2,"当该宝可梦登场时，天气转为下雨并持续5回合。
- 在携带了道具潮湿岩石的情况下，下雨会持续8回合。
- 在大雨、大日照和乱流天气下，特性发动失败。
- 如果有多只拥有可更换天气特性的宝可梦同时登场，那么将会按照宝可梦的速度依次发动特性改变天气，后者覆盖前者。发动失败的情况下除外。",drizzle,出场时，会将天气变为下雨。,降雨
3,"持有该特性的宝可梦每回合结束速度上升1级，但该回合交换出持有该特性的宝可梦则不会发动。
拥有该特性的宝可梦每250回合永久增加一次移动速度。
每到一层，拥有该特性的宝可梦每回合增加1点移动速度，持续20回合。达到最大值之后持续5回合。SMD",speed-boost,每一回合速度会变快。,加速
4,不会被击中要害，即使是必定命中要害的招式也不会击中要害。,battle-armor,被坚硬的甲壳守护着，不会被对手的攻击击中要害。,战斗盔甲
5,"一击必杀的招式对拥有该特性的宝可梦无效。
拥有该特性的宝可梦在满ＨＰ状态下受到一次攻击时，至少会保留1点ＨＰ。
- 受到连续招式时，第一次攻击就会使结实特性发动或不再满足发动条件，无法对后续攻击生效。
- 无法抵御造成自身陷入昏厥状态的招式所导致的自身昏厥效果。
- 无法阻止同命状态生效。
该特性的宝可梦携带气势披带受到了一击被击倒的招式，优先触发结实特性的效果，不会消耗气势披带。
该特性的宝可梦受到过伤害后，如果HP回复到全满，能够再次触发特性。",sturdy,在ＨＰ全满时，即使受到招式攻击，也不会被一击打倒。一击必杀的招式也没有效果。,结实
6,当该宝可梦在场时，玉石俱碎、大爆炸、惊爆大头和薄雾炸裂会使用失败，诱爆特性无效。,damp,通过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,湿气
7,该特性的宝可梦不会陷入麻痹状态，陷入麻痹的宝可梦获得该特性时麻痹状态消除。,limber,因为身体柔软，不会变为麻痹状态。,柔软
8,在沙暴天气中闪避率提升20%，并且不会受到沙暴天气损失体力的影响。,sand-veil,在沙暴的时候，闪避率会提高。,沙隐
9,"使用接触类招式攻击该特性的宝可梦时会有30%的机率麻痹。
连续招式的每一击都会单独触发该特性。",static,身上带有静电，有时会让接触到的对手麻痹。,静电
10,"具有该特性的宝可梦不受电属性招式的影响，当被电属性的招式击中时，回复最大ＨＰ的1⁄4。
- 该特性只能令自身不受电属性招式的影响，不能将电属性招式的目标转移至自身。
- 该特性对电属性的变化招式有效。包括通过其他方式变为电属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 该特性的宝可梦无法触发自身携带的充电电池。
- 该特性的宝可梦进入守住状态无法通过被电属性招式击中回复ＨＰ。",volt-absorb,受到电属性的招式攻击时，不会受到伤害，而是会回复。,蓄电
11,"具有该特性的宝可梦不受水属性招式的影响，当被水属性的招式击中时，回复最大ＨＰ的1⁄4。
- 该特性只能令自身不受水属性招式的影响，不能将水属性招式的目标转移至自身。
- 该特性对水属性的变化招式有效。包括通过其他方式变为水属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 该特性的宝可梦无法触发自身携带的球根或光苔。
- 该特性的宝可梦进入守住状态无法通过被水属性招式击中回复ＨＰ。",water-absorb,受到水属性的招式攻击时，不会受到伤害，而是会回复。,储水
12,"该特性的宝可梦不会陷入着迷和挑衅状态。陷入此状态的宝可梦获得该特性时此状态消除。
该特性不受威吓影响。",oblivious,因为感觉迟钝，不会变为着迷和被挑衅状态。对威吓也毫不动摇。,迟钝
13,拥有该特性的宝可梦在场时，任何天气造成的影响无效。天气并不会消失。,cloud-nine,任何天气的影响都会消失。,无关天气
14,"自身招式的命中率×1.3。
该特性不影响一击必杀招式的命中率。",compound-eyes,因为拥有复眼，招式的命中率会提高。,复眼
15,"该特性的宝可梦不会陷入睡眠状态，睡觉招式会无效。陷入睡眠的宝可梦获得该特性时睡眠状态消除。
烦恼种子可以使宝可梦变成该特性。",insomnia,因为有着睡不着的体质，所以不会陷入睡眠状态。,不眠
16,"当被造成伤害的招式命中时，自身属性会变成这种招式的属性，但处于替身状态时属性不会改变。
- 连续招式全部攻击结束后变色特性再发动；
- 挣扎不会触发该特性；
- 被持有强行特性的宝可梦攻击时该特性不会发动；
- 预知未来和破灭之愿可以触发该特性。
当该特性的宝可梦拥有两种属性，被造成伤害的招式命中后，只会拥有一种属性。如果处于黑暗气场下的气象球命中后，该特性的宝可梦会变为一般属性。
在改变属性后，属性改变前存在的异常状态和该属性若排斥，异常状态仍生效。（例如毒属性和中毒）",color-change,自己的属性会变为从对手处所受招式的属性。,变色
17,该特性的宝可梦不会陷入中毒或剧毒状态。陷入中毒或剧毒的宝可梦获得该特性时中毒或剧毒状态消除。,immunity,因为体内拥有免疫能力，不会变为中毒状态。,免疫
18,"具有该特性的宝可梦不受火属性招式的影响，当被火属性的招式击中时，此宝可梦标记为引火状态，直到换下场或者失去此特性。
- 该特性只能令自身不受火属性招式的影响，不能将火属性招式的目标转移至自身。
- 该特性对火属性的变化招式有效。包括通过其他方式变为火属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 当处于引火状态的宝可梦使用火属性攻击招式时，自身攻击和特攻×1.5。当该特性的宝可梦处于冰冻，该特性可以触发。烈焰溅射无法触发引火。",flash-fire,受到火属性的招式攻击时，吸收火焰，自己使出的火属性招式会变强。,引火
19,"拥有该特性的宝可梦不会受到其他宝可梦招式的追加效果影响。
- 不能防止变化招式（如催眠粉、电磁波）的效果。
- 不能防止该特性宝可梦自身使用招式时的副作用（如近身战）。
- 不能防止招式对攻击方自身（如增强拳）或场地（如岩斧）施加的追加效果。也不能防止极巨招式或超极巨招式的效果。
- 可以防止毒手、毒锁链特性造成的中毒状态、投掷投出部分道具时造成的效果，尽管这些不属于追加效果。",shield-dust,被鳞粉守护着，不会受到招式的追加效果影响。,鳞粉
20,"该特性的宝可梦不会陷入混乱状态。陷入混乱的宝可梦获得该特性时混乱状态消除。在该特性的宝可梦使用花瓣舞、逆鳞或者芭亚果等使自身混乱后，混乱状态仍然消除。
该特性不受威吓影响。",own-tempo,因为我行我素，不会变为混乱状态。对威吓也毫不动摇。,我行我素
21,"拥有该特性的宝可梦不受强制替换宝可梦的招式以及红牌的影响。
- 自身使用和后备宝可梦进行替换的招式或携带的逃脱按键不受该特性影响。",suction-cups,用吸盘牢牢贴在地面上，让替换宝可梦的招式和道具无效。,吸盘
22,"出场或获得此特性时所有攻击范围内的对手的攻击下降1级。
- 对处于飞翔、潜水、挖洞或暗影潜袭状态的宝可梦有效。
- 拥有恒净之躯、怪力钳、白色烟雾、金属防护、精神力、迟钝、胆量和我行我素特性的宝可梦不受影响。
- 处于替身状态的宝可梦不受影响。
- 在三打对战中，若该特性的宝可梦不是从中间出场，则只能威吓到与该宝可梦相同一侧和中间的宝可梦。
- 胆怯特性的宝可梦，在受到威吓后能够提升速度。
- 看门犬特性的宝可梦，威吓效果无效，并且攻击提高1级。
用物理招式攻击该特性的宝可梦的伤害下降20%。",intimidate,出场时威吓对手，让其退缩，降低对手的攻击。,威吓
23,使对方全部不持有踩影特性的非幽灵属性宝可梦处于无法逃走状态，无法替换或逃走。,shadow-tag,踩住对手的影子使其无法逃走或替换。,踩影
24,"受到接触类招式攻击时对手会损失最大体力的1⁄8。
- 连续招式的每一击都会触发此特性。
- 有粗糙皮肤特性的宝可梦使用守住并被攻击方使用Ｚ招式攻击时，粗糙皮肤特性不会发动。
如果受到敌人从正面的近身攻击，会反弹一半伤害。",rough-skin,受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。,粗糙皮肤
25,"如果招式对拥有该特性的宝可梦不能产生效果绝佳，则招式对该特性的宝可梦没有伤害。
例如：脱壳忍者（虫.mw-parser-output .type-box-9,.mw-parser-output .type-box-9-other{position:relative;display:inline-block;overflow:hidden;margin:0 1px;height:20px;border-radius:10px;text-align:center;vertical-align:middle;white-space:nowrap;font-size:14px;line-height:20px}.mw-parser-output .type-box-9{padding-left:17px;width:60px}.mw-parser-output .type-box-9-other{width:80px}.mw-parser-output .type-box-9-icon{position:absolute;top:0;left:2px;width:20px;height:20px}.mw-parser-output .type-box-9-text{color:#fff}.mw-parser-output .type-box-9-一般{background-color:#9fa19f}.mw-parser-output .type-box-9-格斗,.mw-parser-output .type-box-9-格鬥{background-color:#ff8000}.mw-parser-output .type-box-9-飞行,.mw-parser-output .type-box-9-飛行{background-color:#81b9ef}.mw-parser-output .type-box-9-毒{background-color:#9141cb}.mw-parser-output .type-box-9-地面{background-color:#915121}.mw-parser-output .type-box-9-岩石{background-color:#afa981}.mw-parser-output .type-box-9-虫,.mw-parser-output .type-box-9-蟲{background-color:#91a119}.mw-parser-output .type-box-9-幽灵,.mw-parser-output .type-box-9-幽靈{background-color:#704170}.mw-parser-output .type-box-9-钢,.mw-parser-output .type-box-9-鋼{background-color:#60a1b8}.mw-parser-output .type-box-9-火{background-color:#e62829}.mw-parser-output .type-box-9-水{background-color:#2980ef}.mw-parser-output .type-box-9-草{background-color:#3fa129}.mw-parser-output .type-box-9-电,.mw-parser-output .type-box-9-電{background-color:#fac000}.mw-parser-output .type-box-9-超能力{background-color:#ef4179}.mw-parser-output .type-box-9-冰{background-color:#3fd8ff}.mw-parser-output .type-box-9-龙,.mw-parser-output .type-box-9-龍{background-color:#5060e1}.mw-parser-output .type-box-9-恶,.mw-parser-output .type-box-9-惡{background-color:#50413f}.mw-parser-output .type-box-9-妖精{background-color:#ef70ef}.mw-parser-output .type-box-9-星晶{background-color:#73c6bc}幽灵）会被以下属性效果绝佳招式受到伤害：飞行岩石幽灵火恶，那么除了这些属性以外，其他所有攻击招式都无法对脱壳忍者造成攻击伤害。
对于无法产生伤害的攻击招式，其任何效果都无法发动。
不能防止挣扎、反作用力招式、混乱状态等情况下对自己的伤害。各种非直接伤害效果也不能防止，例如灼伤、中毒、冰雹、沙暴以及对入场宝可梦生效的招式等。
该特性只能通过复制特性复制，不能通过扮演招式或化学之力、接球手等特性复制。
该特性不能防止黑暗招式的伤害。即使在《圆形竞技场》中黑暗招式不对任何属性效果绝佳，依然可以对该特性的宝可梦造成伤害。",wonder-guard,不可思议的力量，只有效果绝佳的招式才能击中。,神奇守护
26,"拥有该特性的宝可梦免疫地面属性招式（除了泼沙和千箭齐发），不会受到沙穴特性和毒菱、撒菱、黏黏网和场地型状态等状态变化的影响。拥有该特性的毒属性的宝可梦无法清除毒菱。
当宝可梦持有道具黑色铁球，或是宝可梦处于击落、扎根状态，或是场地上存在重力状态时，该特性失效。",levitate,从地面浮起，从而不会受到地面属性招式的攻击。,飘浮
27,"使用接触类招式攻击该特性的宝可梦时会有30%的机率陷入麻痹、中毒或睡眠状态。
- 其中，睡眠概率略高于10%，麻痹概率为10%，中毒概率略低于10%。
连续招式的每一击都可能触发该特性。
该特性属于粉末类特性，因此对草属性、拥有防尘特性或携带防尘护目镜的宝可梦无效。",effect-spore,受到攻击时，有时会把接触到自己的对手变为中毒、麻痹或睡眠状态。,孢子
