id,internal_name,name,sorting_order
1,walk,Walking in tall grass or a cave,1
2,old-rod,Fishing with an Old Rod,10
3,good-rod,Fishing with a Good Rod,11
4,super-rod,Fishing with a Super Rod,12
5,surf,Surfing,14
6,rock-smash,Smashing rocks,16
7,headbutt,Headbutting trees,17
8,dark-grass,Walking in dark grass,5
9,grass-spots,Walking in rustling grass,2
10,cave-spots,Walking in dust clouds,3
11,bridge-spots,Walking in bridge shadows,4
12,super-rod-spots,Fishing in dark spots,13
13,surf-spots,Surfing in dark spots,15
14,yellow-flowers,Walking in yellow flowers,6
15,purple-flowers,Walking in purple flowers,7
16,red-flowers,Walking in red flowers,8
17,rough-terrain,Walking on rough terrain,9
18,gift,Receive as a gift,18
19,gift-egg,Receive egg as a gift,19
20,only-one,"Static encounter, only one chance",20
21,pokeflute,Playing Pokéflute,21
22,headbutt-low,Headbutting a low encounter rate tree,22
23,headbutt-normal,Headbutting a normal encounter rate tree,23
24,headbutt-high,Headbutting a high encounter rate tree,24
25,squirt-bottle,Using the Squirt Bottle on a Sudowoodo,25
26,wailmer-pail,Using the Wailmer Pail on a Sudowoodo,26
27,seaweed,Diving on seaweed,27
28,roaming-grass,On any overworld patch of grass,28
29,roaming-water,On any overworld water tile,29
30,devon-scope,Using Devon Scope,30
31,feebas-tile-fishing,Fishing in a Feebas Tile,31
32,island-scan,island-scan,32
33,sos-encounter,sos-encounter,33
34,bubbling-spots,bubbling-spots,34
35,berry-piles,berry-piles,35
36,npc-trade,npc-trade,36
37,sos-from-bubbling-spot,sos-from-bubbling-spot,37
38,overworld,Walking in the overworld,38
39,overworld-water,Surfing in the overworld,39
40,overworld-flying,Flying Pokemon in the sky,40
41,overworld-special,Rare spawn in grass with lure or catch combo,41
42,overworld-flying-special,Rare spawn in the sky with lure or catch combo,42
43,overworld-water-special,Rare spawn in water with lure or catch combo,43
44,horde,"Encountering 5 Pokemon within grass, flowers, or within a cave",44
45,colosseum-bonus-disc-us,Receiving a Jirachi from the USA Colosseum Bonus Disc,45
46,colosseum-bonus-disc-jpn,Receiving a Celebi or Pikachu from the Japanese Colosseum Bonus Disc,46
47,pokemon-channel-pal,Receiving a Jirachi from the PAL copy of Pokemon channel,47
48,pokemon-ranger,Receiving a Manaphy from Pokemon Ranger,48
49,pokemon-battle-revolution,"Receiving a Pikachu, Electivire, or Magmar from Pokemon Battle Revolution",49
50,new-york-pokecenter-wish-eggs,Receiving an egg from the Pokemon center in New York City that contains the special move Wish.,50
51,snag,Snagging a Pokemon from a trainer in Pokemon Colosseum or Pokemon XD: Gale of Darkness.,51
52,snag-rematch,"Snagging a Pokemon from a trainer in Pokemon Colosseum or Pokemon XD: Gale of Darkness, after you have failed to capture them once.",52
