id,ability_id,effect,short_effect,flavor_text
1,1,如果这只生物的伤害性技能尚未造成退缩作为次要效果，则每次攻击都有 10% 的几率使目标退缩。该能力不会与持有的物品叠加。冒险中：当这只生物在队伍中排名第一时，野外遭遇率减半。,每次攻击都有 10% 的几率使目标生物退缩。,通过释放臭臭的气味， 在攻击的时候， 有时会使对手畏缩。
2,2,当这只生物进入对战时，天气会变成下雨，除非被其他天气条件取代，否则不会结束。如果多个具有此能力的生物同时发出干旱、沙流或雪警告，则能力将按速度顺序激活，尊重戏法空间。每个能力的天气都会取消之前的天气，只有速度最慢的生物召唤的天气才会保留。,进入对战后召唤无限期持续的降雨。,出场时， 会将天气变为下雨。
3,3,该生物的速度每回合后都会上升一级。,每回合后速度提升1级。,每一回合速度会变快。
4,4,技能无法对这只生物造成致命一击。该能力的作用与贝壳装甲相同。,防止致命一击。,被坚硬的甲壳守护着， 不会被对手的攻击击中要害。
5,5,当这只生物 ＨＰ 满时，任何将其打倒的攻击都会使其只剩 1 ＨＰ。不管它当前的生命值是多少，它也免疫一击击倒技能：裂缝、断头台、角钻和纯粹的寒冷。如果这只生物持有专注腰带，则该能力优先，并且该物品不会被消耗。,防止被满ＨＰ打倒，留下1 ＨＰ。无论 ＨＰ 多少，都能防御一击 击倒 技能。,即使受到对手的技能攻击， 也不会被一击打倒。 一击必杀的技能也没有效果。
6,6,当这只生物在战斗中时，自毁和爆炸将会失败，余波也不会生效。,当生物在对战时，防止自毁、爆炸和后果发生。,通过把周围都弄湿， 使谁都无法使用自爆等爆炸类的技能。
7,7,该生物不会陷入麻痹状态。如果生物陷入麻痹并获得此能力，则其麻痹状态会被治愈；这包括在离开对战后恢复失去的能力。,防止麻痹。,因为身体柔软， 不会变为麻痹状态。
8,8,在沙尘暴期间，这只生物的回避率为 1.25 倍，并且无论属性如何，它都不会受到沙尘暴伤害。躲避奖励不算作属性修正值。冒险中：如果领头的生物具有此能力，则在沙尘暴中的野外遭遇率会减半。,沙尘暴期间回避率提高至 1.25 倍。防止沙尘暴伤害。,在沙暴的时候， 闪避率会提高。
9,9,每当技能与该生物接触时，该技能的使用者就有 30% 的几率陷入麻痹状态。免疫电属性技能的生物仍然会被该能力麻痹。冒险中：如果领头的生物具有此能力，则有 50% 的机会遇到电属性生物（如果适用）。,有 30% 的几率使接触到的攻击生物陷入麻痹。,身上带有静电， 有时会让接触到的对手麻痹。
10,10,每当电属性技能击中这只生物时，它就会恢复其最大生命值的 1/4，并消除对其产生的任何其他效果。如果该生物是地面属性，因此免疫电属性技能，则此能力不会生效。电属性技能将忽略这只生物的替身。该效果包括非伤害性技能，即电磁波。,吸收电击，回复最大生命值的 1/4。,受到电属性的技能攻击时， 不会受到伤害，而是会回复。
