id,species_id,growth_rate_id,evolves_from_species_id,evolution_chain_id,sort_order,gender_differences,forms_switchable,genus,flavor_text
1,1,4,,1,1,false,false,种子生物,在出生后的一段时间内， 它会吸收背上种子里 储存着的营养成长。
2,2,4,1,1,2,false,false,种子生物,沐浴在阳光下越久， 身体内会涌出越多力量， 背上的花苞也会渐渐成长。
3,3,4,2,1,3,true,true,种子生物,花朵散发出的迷人香味 能安抚激动的心情， 甚至消弭斗争。
4,4,4,,2,4,false,false,蜥蜴生物,生下来的时候， 尾巴上就有火焰在灼伤。 火焰熄灭时，它的生命也会结束。
5,5,4,4,2,5,false,false,火焰生物,如果它在战斗中亢奋起来， 就会喷出灼热的火焰， 把周围的东西烧得一干二净。
6,6,4,5,2,6,false,true,火焰生物,能用翅膀飞到距地面 １４００米的高度。 会吐出高温火焰。
7,7,4,,3,7,false,false,小龟生物,当它遇到危险的时候， 会将四肢收回龟壳里保护自己， 同时从嘴里喷出水来。
8,8,4,7,3,8,false,false,龟生物,会灵巧地摆动自己 毛茸茸的耳朵和尾巴， 借此在水中保持平衡。
9,9,4,8,3,9,false,true,甲壳生物,从龟壳上的大炮里 放出的喷射水流 足以贯穿厚实的铁板。
10,10,2,,4,10,false,false,虫宝宝生物,别看它的脚很短， 因为是吸盘，所以无论是 斜坡还是墙壁都能轻松前进。
11,11,2,10,4,11,false,false,蛹生物,虽然有坚硬的外壳， 因为壳里的身体很软， 所以无法抵抗强力的攻击。
12,12,2,11,4,12,true,false,蝴蝶生物,每天都忙着采集花蜜。 习惯往腿部的细毛上涂满花蜜， 然后带回巢穴里。
13,13,2,,5,13,false,false,毛毛虫生物,头上长有尖锐的针。 它喜欢藏在森林或 草丛里大量吞食树叶。
14,14,2,13,5,14,false,false,蛹生物,虽然几乎动也动不了， 但是如果遇到了危险， 有时似乎会竖起毒刺来反抗。
15,15,2,14,5,15,false,true,毒蜂生物,它会用双手和 尾部的３根毒针 反复刺伤敌人。
16,16,4,,6,16,false,false,小鸟生物,性格沉着冷静，即使受到 攻击也很少反击，只会朝 对手扬起沙子保护自己。
17,17,4,16,6,17,false,false,鸟生物,拥有超群的体力，而且 飞翔范围广，经常飞到 很远的地方寻找食物。
18,18,4,17,6,18,false,true,鸟生物,以２马赫的飞行速度来 觅食。它巨大的爪子是 非常令人惧怕的武器。
19,19,2,,7,19,true,false,鼠生物,有两颗大门牙，见什么咬什么。 只要看到１只小拉达出没， 附近肯定还住着40只以上。
20,20,2,19,7,20,true,false,鼠生物,它的后脚上长着 小蹼，以便它在 水中游泳寻找食物。
21,21,2,,8,21,false,false,小鸟生物,不擅长高空飞行。 会以超高速在地盘里四处盘旋， 以保护自己的地盘不被侵犯。
