id,code,name,highest_stat_id,gene_modulo,description,enabled
1,characteristic-1,非常喜欢吃东西,1,0,非常喜欢吃东西,true
2,characteristic-2,以力气大为傲,2,0,以力气大为傲,true
3,characteristic-3,身体强壮,3,0,身体强壮,true
4,characteristic-4,好奇心强,4,0,好奇心强,true
5,characteristic-5,性格强势,5,0,性格强势,true
6,characteristic-6,喜欢比谁跑得快,6,0,喜欢比谁跑得快,true
7,characteristic-7,经常睡午觉,1,1,经常睡午觉,true
8,characteristic-8,喜欢胡闹,2,1,喜欢胡闹,true
9,characteristic-9,抗打能力强,3,1,抗打能力强,true
10,characteristic-10,喜欢恶作剧,4,1,喜欢恶作剧,true
11,characteristic-11,有一点点爱慕虚荣,5,1,有一点点爱慕虚荣,true
12,characteristic-12,对声音敏感,6,1,对声音敏感,true
13,characteristic-13,常常打瞌睡,1,2,常常打瞌睡,true
14,characteristic-14,有点容易生气,2,2,有点容易生气,true
15,characteristic-15,顽强不屈,3,2,顽强不屈,true
16,characteristic-16,做事万无一失,4,2,做事万无一失,true
17,characteristic-17,争强好胜,5,2,争强好胜,true
18,characteristic-18,冒冒失失,6,2,冒冒失失,true
19,characteristic-19,经常乱扔东西,1,3,经常乱扔东西,true
20,characteristic-20,喜欢打架,2,3,喜欢打架,true
21,characteristic-21,能吃苦耐劳,3,3,能吃苦耐劳,true
22,characteristic-22,经常思考,4,3,经常思考,true
23,characteristic-23,不服输,5,3,不服输,true
24,characteristic-24,有点容易得意忘形,6,3,有点容易得意忘形,true
25,characteristic-25,喜欢悠然自在,1,4,喜欢悠然自在,true
26,characteristic-26,血气方刚,2,4,血气方刚,true
27,characteristic-27,善于忍耐,3,4,善于忍耐,true
28,characteristic-28,一丝不苟,4,4,一丝不苟,true
29,characteristic-29,有一点点固执,5,4,有一点点固执,true
30,characteristic-30,逃得快,6,4,逃得快,true
