id,code,name,main_series,enabled
1,stench,恶臭,true,true
2,drizzle,降雨,true,true
3,speed-boost,加速,true,true
4,battle-armor,战斗盔甲,true,true
5,sturdy,结实,true,true
6,damp,湿气,true,true
7,limber,柔软,true,true
8,sand-veil,沙隐,true,true
9,static,静电,true,true
10,volt-absorb,蓄电,true,true
11,water-absorb,储水,true,true
12,oblivious,迟钝,true,true
13,cloud-nine,无关天气,true,true
14,compound-eyes,复眼,true,true
15,insomnia,不眠,true,true
16,color-change,变色,true,true
17,immunity,免疫,true,true
18,flash-fire,引火,true,true
19,shield-dust,鳞粉,true,true
20,own-tempo,我行我素,true,true
21,suction-cups,吸盘,true,true
22,intimidate,威吓,true,true
23,shadow-tag,踩影,true,true
24,rough-skin,粗糙皮肤,true,true
25,wonder-guard,神奇守护,true,true
26,levitate,飘浮,true,true
27,effect-spore,孢子,true,true
28,synchronize,同步,true,true
29,clear-body,恒净之躯,true,true
30,natural-cure,自然回复,true,true
31,lightning-rod,避雷针,true,true
32,serene-grace,天恩,true,true
33,swift-swim,悠游自如,true,true
34,chlorophyll,叶绿素,true,true
35,illuminate,发光,true,true
36,trace,复制,true,true
37,huge-power,大力士,true,true
38,poison-point,毒刺,true,true
39,inner-focus,精神力,true,true
40,magma-armor,熔岩铠甲,true,true
41,water-veil,水幕,true,true
42,magnet-pull,磁力,true,true
43,soundproof,隔音,true,true
44,rain-dish,雨盘,true,true
45,sand-stream,扬沙,true,true
46,pressure,压迫感,true,true
47,thick-fat,厚脂肪,true,true
48,early-bird,早起,true,true
49,flame-body,火焰之躯,true,true
50,run-away,逃跑,true,true
51,keen-eye,锐利目光,true,true
52,hyper-cutter,怪力钳,true,true
53,pickup,捡拾,true,true
54,truant,懒惰,true,true
55,hustle,活力,true,true
56,cute-charm,迷人之躯,true,true
57,plus,正电,true,true
58,minus,负电,true,true
59,forecast,阴晴不定,true,true
60,sticky-hold,黏着,true,true
61,shed-skin,蜕皮,true,true
62,guts,毅力,true,true
63,marvel-scale,神奇鳞片,true,true
64,liquid-ooze,污泥浆,true,true
65,overgrow,茂盛,true,true
66,blaze,猛火,true,true
67,torrent,激流,true,true
68,swarm,虫之预感,true,true
69,rock-head,坚硬脑袋,true,true
70,drought,日照,true,true
71,arena-trap,沙穴,true,true
72,vital-spirit,干劲,true,true
73,white-smoke,白色烟雾,true,true
74,pure-power,瑜伽之力,true,true
75,shell-armor,硬壳盔甲,true,true
76,air-lock,气闸,true,true
77,tangled-feet,蹒跚,true,true
78,motor-drive,电气引擎,true,true
79,rivalry,斗争心,true,true
80,steadfast,不屈之心,true,true
81,snow-cloak,雪隐,true,true
82,gluttony,贪吃鬼,true,true
83,anger-point,愤怒穴位,true,true
84,unburden,轻装,true,true
85,heatproof,耐热,true,true
86,simple,单纯,true,true
87,dry-skin,干燥皮肤,true,true
88,download,下载,true,true
89,iron-fist,铁拳,true,true
90,poison-heal,毒疗,true,true
91,adaptability,适应力,true,true
92,skill-link,连续攻击,true,true
93,hydration,湿润之躯,true,true
94,solar-power,太阳之力,true,true
95,quick-feet,飞毛腿,true,true
96,normalize,一般皮肤,true,true
97,sniper,狙击手,true,true
98,magic-guard,魔法防守,true,true
99,no-guard,无防守,true,true
100,stall,慢出,true,true
101,technician,技术高手,true,true
102,leaf-guard,叶子防守,true,true
103,klutz,笨拙,true,true
104,mold-breaker,破格,true,true
105,super-luck,超幸运,true,true
106,aftermath,引爆,true,true
107,anticipation,危险预知,true,true
108,forewarn,预知梦,true,true
109,unaware,纯朴,true,true
110,tinted-lens,有色眼镜,true,true
111,filter,过滤,true,true
112,slow-start,慢启动,true,true
113,scrappy,胆量,true,true
114,storm-drain,引水,true,true
115,ice-body,冰冻之躯,true,true
116,solid-rock,坚硬岩石,true,true
117,snow-warning,降雪,true,true
118,honey-gather,采蜜,true,true
119,frisk,察觉,true,true
120,reckless,舍身,true,true
121,multitype,多属性,true,true
122,flower-gift,花之礼,true,true
123,bad-dreams,梦魇,true,true
124,pickpocket,顺手牵羊,true,true
125,sheer-force,强行,true,true
126,contrary,唱反调,true,true
127,unnerve,紧张感,true,true
128,defiant,不服输,true,true
129,defeatist,软弱,true,true
130,cursed-body,诅咒之躯,true,true
131,healer,治愈之心,true,true
132,friend-guard,友情防守,true,true
133,weak-armor,碎裂铠甲,true,true
134,heavy-metal,重金属,true,true
135,light-metal,轻金属,true,true
136,multiscale,多重鳞片,true,true
